,text,query,id,author_id,created_at,query_time
0,"I've just claimed my name jerry01.xplorer.stark with Argent-X to become eligible for the second Xplorer NFT.

Snapshot will be taken on 16 May 23:59 UTC 👀

Register yours before it's too late on https://t.co/vhVcy2MPZB",Starknet,1656670699090751491,1426344503435317250,,2023-05-11T14-40-58
1,"Just achieved an 70.25s score in #StarkFighter 🕹️ !  - truusthq.xplorer.stark

Think you can outscore me ? 

Give it a shot at https://t.co/fqQFmUJLgi and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670695764660225,130808213,,2023-05-11T14-40-58
2,"Just achieved an 33.66s score in #StarkFighter 🕹️ !  - marcobenez.xplorer.stark

Think you can outscore me ? 

Give it a shot at https://t.co/sALRQuYpkf and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670691369046018,490535932,,2023-05-11T14-40-58
3,"Just achieved an 19.23s score in #StarkFighter 🕹️ !  - 0x007.xplorer.stark

Think you can outscore me ? 

Give it a shot at https://t.co/Jv8n8FmYOq and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670688760180738,1531344808329023489,,2023-05-11T14-40-58
4,"Just achieved an 1.28s score in #StarkFighter 🕹️ !  - olivka.stark

Think you can outscore me ? 

Give it a shot at https://t.co/SeNkghYMwJ and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670688164614146,1251457306363076645,,2023-05-11T14-40-58
5,"Just achieved an 7.12s score in #StarkFighter 🕹️ !  - income4me.stark

Think you can outscore me ? 

Give it a shot at https://t.co/TGysOtaHae and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670686545600519,1356240119645302785,,2023-05-11T14-40-58
6,"Just achieved an 115.28s score in #StarkFighter 🕹️ !  - tianxiawushuang.braavos.stark

Think you can outscore me ? 

Give it a shot at https://t.co/8btePke80Q and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670686386200580,622023715,,2023-05-11T14-40-58
7,"Just achieved an 64.23s score in #StarkFighter 🕹️ !  - gino.braavos.stark

Think you can outscore me ? 

Give it a shot at https://t.co/luk8M8uozC and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670686335897605,1423761873430884357,,2023-05-11T14-40-58
8,"Just achieved an 111.67s score in #StarkFighter 🕹️ !  - klkemwpppf2.stark

Think you can outscore me ? 

Give it a shot at https://t.co/oi6arHTjn3 and stand a chance to win over $10,000 worth of #Starknet prizes !",Starknet,1656670680660979712,2497724888,,2023-05-11T14-40-58
9,"I've just claimed my name jennixxo.xplorer.stark with Argent-X to become eligible for the second Xplorer NFT.

Snapshot will be taken on 16 May 23:59 UTC 👀

Register yours before it's too late on https://t.co/4WZDAG7We3",Starknet,1656670680560328709,1635514369621499906,,2023-05-11T14-40-58
